,Susceptibles,Expuestos,Infectados,Recuperados,Mosquitos_S,Mosquitos_I,Mosquitos_Total,Huevos,Temperatura,Precipitacion,Sitios_Temporales,LSM_Activo,ITN_IRS_Activo,seed,estrategia,usar_lsm,usar_itn_irs,run_id
57,9997,0,0,3,17,87,104,776,20.5,49.0,42,True,True,123,ambas,True,True,8
58,9998,0,0,2,18,79,97,884,20.5,8.9,41,True,True,123,ambas,True,True,8
59,9998,0,0,2,16,65,81,1029,21.3,8.3,45,True,True,123,ambas,True,True,8
60,9998,0,0,2,15,64,79,1048,20.0,18.6,54,True,True,123,ambas,True,True,8
61,9998,0,0,2,14,56,70,1247,20.5,8.3,56,True,True,123,ambas,True,True,8
62,9998,0,0,2,15,50,65,1281,20.6,5.0,50,True,True,123,ambas,True,True,8
63,9998,0,0,2,14,44,58,502,21.6,0.8,47,True,True,123,ambas,True,True,8
64,9998,0,0,2,13,35,48,575,20.7,5.1,49,True,True,123,ambas,True,True,8
65,9998,0,0,2,12,29,41,616,20.2,14.0,32,True,True,123,ambas,True,True,8
66,9998,0,0,2,10,23,33,601,20.4,3.3,28,True,True,123,ambas,True,True,8
67,9998,0,0,2,11,21,32,685,21.8,0.0,24,True,True,123,ambas,True,True,8
68,9998,0,0,2,13,18,31,707,21.1,0.0,15,True,True,123,ambas,True,True,8
69,9998,0,0,2,17,14,31,654,22.1,4.1,11,True,True,123,ambas,True,True,8
70,9998,0,0,2,14,14,28,297,21.1,11.0,14,True,True,123,ambas,True,True,8
71,9998,0,0,2,11,10,21,297,21.4,0.8,14,True,True,123,ambas,True,True,8
72,9998,0,0,2,18,12,30,396,21.7,0.3,12,True,True,123,ambas,True,True,8
73,9998,0,0,2,16,12,28,426,20.9,17.0,13,True,True,123,ambas,True,True,8
74,9998,0,0,2,17,11,28,404,22.7,0.0,13,True,True,123,ambas,True,True,8
75,9998,0,0,2,14,12,26,487,21.0,1.5,13,True,True,123,ambas,True,True,8
76,9998,0,0,2,18,14,32,601,22.6,0.0,13,True,True,123,ambas,True,True,8
77,9998,0,0,2,17,12,29,213,21.8,4.3,13,True,True,123,ambas,True,True,8
78,9998,0,0,2,15,95,110,551,22.6,50.0,33,True,True,123,ambas,True,True,8
79,9998,0,0,2,15,76,91,693,21.4,3.9,33,True,True,123,ambas,True,True,8
80,9998,0,0,2,11,69,80,938,21.7,2.4,33,True,True,123,ambas,True,True,8
81,9998,0,0,2,11,62,73,1124,23.9,0.0,25,True,True,123,ambas,True,True,8
82,9998,0,0,2,5,51,56,1079,21.7,4.5,25,True,True,123,ambas,True,True,8
83,9998,0,0,2,4,38,42,1117,22.8,1.0,25,True,True,123,ambas,True,True,8
84,9998,0,0,2,4,35,39,455,22.3,7.1,28,True,True,123,ambas,True,True,8
85,9998,0,0,2,4,30,34,459,21.6,0.0,28,True,True,123,ambas,True,True,8
86,9998,0,0,2,8,27,35,533,20.8,13.9,9,True,True,123,ambas,True,True,8
87,9998,0,0,2,8,25,33,579,21.2,15.5,16,True,True,123,ambas,True,True,8
88,9998,0,0,2,6,24,30,518,22.0,0.8,16,True,True,123,ambas,True,True,8
89,9998,0,0,2,12,23,35,526,21.8,0.0,16,True,True,123,ambas,True,True,8
90,9998,0,0,2,12,21,33,521,22.1,3.0,16,True,True,123,ambas,True,True,8
91,9998,0,0,2,13,22,35,258,21.9,19.7,25,True,False,123,ambas,True,True,8
92,9998,0,0,2,15,28,43,361,21.7,11.8,27,True,False,123,ambas,True,True,8
93,9998,0,0,2,19,125,144,887,21.3,61.0,57,True,False,123,ambas,True,True,8
94,9998,0,0,2,17,121,138,1084,21.4,4.0,51,True,False,123,ambas,True,True,8
95,9998,0,0,2,17,118,135,1220,22.7,0.0,44,True,False,123,ambas,True,True,8
96,9998,0,0,2,15,110,125,1527,21.2,19.1,53,True,False,123,ambas,True,True,8
97,9998,0,0,2,15,103,118,1676,22.2,8.9,57,True,False,123,ambas,True,True,8
98,9998,0,0,2,16,109,125,761,21.6,23.7,68,True,False,123,ambas,True,True,8
99,9998,0,0,2,16,98,114,815,23.0,0.0,59,True,False,123,ambas,True,True,8
100,9998,0,0,2,20,91,111,983,23.2,0.0,54,True,False,123,ambas,True,True,8
101,9998,0,0,2,21,86,107,1150,21.8,4.7,24,True,False,123,ambas,True,True,8
102,9998,0,0,2,18,78,96,1302,21.7,1.7,24,True,False,123,ambas,True,True,8
103,9998,0,0,2,18,167,185,1703,23.3,52.3,50,True,False,123,ambas,True,True,8
